역할,문서,항목,하위항목,추출값,정규화값,문단번호,근거위치,원문문장
동의서(소아),Assent_소아용_v1.2_20260825.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,1,표 1 행 1 (문단 1),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
동의서(소아),Assent_소아용_v1.2_20260825.docx,문서 버전·날짜,버전,v1.2,1.2,2,표 1 행 2 (문단 2),버전 1.2
동의서(소아),Assent_소아용_v1.2_20260825.docx,문서 버전·날짜,날짜,2026-08-25,2026-08-25,3,표 1 행 3 (문단 3),날짜 2026-08-25
동의서(소아),Assent_소아용_v1.2_20260825.docx,연락처,전화,02-***-0000,02-***-0000,7,문단 7,전화 02-***-0000
동의서(소아),Assent_소아용_v1.2_20260825.docx,방문·회기 횟수 / 참여 기간,방문횟수,총 2회 방문,2,5,문단 5,"연구에 참여하면 병원에 총 2회 방문하게 되고, 한 번 올 때마다 약 90분 정도 걸려요."
동의서(소아),Assent_소아용_v1.2_20260825.docx,소요시간,,90분,90,5,문단 5,"연구에 참여하면 병원에 총 2회 방문하게 되고, 한 번 올 때마다 약 90분 정도 걸려요."
CRF,CRF_통합_v1.2_20260825.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,1,표 1 행 1 (문단 1),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
CRF,CRF_통합_v1.2_20260825.docx,문서 버전·날짜,버전,v1.2,1.2,2,표 1 행 2 (문단 2),Version 1.2
CRF,CRF_통합_v1.2_20260825.docx,문서 버전·날짜,날짜,2026-08-25,2026-08-25,3,표 1 행 3 (문단 3),Date 2026-08-25
CRF,CRF_통합_v1.2_20260825.docx,방문·회기 횟수 / 참여 기간,방문횟수,방문 1~2 (2개 회기),2,8,"§방문 일정, 표 2 행 3 (문단 8)",Visit 2 방문일 완료 여부
CRF,CRF_통합_v1.2_20260825.docx,평가·검사 항목,,음악지각검사,음악지각검사,10,"§평가 폼, 문단 10",음악지각검사
CRF,CRF_통합_v1.2_20260825.docx,평가·검사 항목,,어음인지검사,어음인지검사,11,"§평가 폼, 문단 11",어음인지검사
CRF,CRF_통합_v1.2_20260825.docx,평가·검사 항목,,삶의질 설문지 (QoL),삶의질설문지,12,"§평가 폼, 문단 12",삶의질 설문지 (QoL)
CRF,CRF_통합_v1.2_20260825.docx,평가·검사 항목,,청능재활 만족도 척도,청능재활만족도척도,13,"§평가 폼, 문단 13",청능재활 만족도 척도
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,1,표 1 행 1 (문단 1),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,문서 버전·날짜,버전,v1.2,1.2,2,표 1 행 2 (문단 2),버전 1.2
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,문서 버전·날짜,날짜,2026-08-25,2026-08-25,3,표 1 행 3 (문단 3),날짜 2026-08-25
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,연구책임자·기관,책임자,김가상,김가상,6,"§1. 연구 소개, 문단 6",연구책임자: 김가상 (가상대학교병원)
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,연락처,전화,02-***-0000,02-***-0000,17,"§6. 연락처, 문단 17","연구에 대한 문의: 김가상 연구책임자, 전화 02-***-0000"
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,대상자 수,,총 90명,90,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,대상자 수,,30명,30,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,대상자 수,,20명,20,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,대상자 수,,40명,40,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,연령 범위,,만 5~12세,5~12,8,"§2. 연구 대상, 문단 8","소아는 만 5~12세, 성인은 만 19~45세입니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,연령 범위,,만 19~45세,19~45,8,"§2. 연구 대상, 문단 8","소아는 만 5~12세, 성인은 만 19~45세입니다."
