Records exported from a citation manager (synthetic pubgap example)

PubMed ID,Title,Source title,Publication Year,MeSH Terms,Author Keywords,Document Type,DOI
30000001,Slow breathing and heart rate variability in healthy adults,Sleep Med,2015,Respiration/physiology; Heart Rate/physiology; Autonomic Nervous System/physiology,,Randomized Controlled Trial; Clinical Trial,
30000002,EEG slow-wave activity in patients with insomnia,J Sleep Res,2016,Electroencephalography/methods; Sleep/physiology; Sleep Initiation and Maintenance Disorders/physiopathology,,Observational Study,
30000003,Respiratory rate monitoring during sleep,Chest,2016,Respiration/physiology; Sleep/physiology; Respiratory Rate/physiology,,Observational Study,
30000004,Parasympathetic activation via paced breathing,Psychophysiology,2017.0,Respiration/physiology; Parasympathetic Nervous System/physiology; Heart Rate/physiology,,Randomized Controlled Trial; Clinical Trial,
30000005,Cortical arousal and EEG markers of fragmented sleep,Sleep,2017,Electroencephalography/methods; Sleep/physiology; Arousal/physiology,,Observational Study,
30000006,Heart rate variability biofeedback for stress,Front Neurosci,2018,"Heart Rate/physiology; Biofeedback, Psychology/methods; Autonomic Nervous System/physiology",,Clinical Trial,

30000007,Insomnia severity and autonomic function,J Clin Sleep Med,2018,Sleep Initiation and Maintenance Disorders/physiopathology; Autonomic Nervous System/physiology; Heart Rate/physiology,,Observational Study,
30000008,Non-contact respiration sensing during sleep,Sleep Med,Mar-2019,"Respiration/physiology; Monitoring, Physiologic/methods; Sleep/physiology",,Validation Study,
30000009,EEG spectral power during relaxation,Psychophysiology,2019,Electroencephalography/methods; Relaxation,,Case Reports,
30000010,Respiratory sinus arrhythmia and vagal tone,Front Physiol,2020,Respiration/physiology; Heart Rate/physiology; Parasympathetic Nervous System/physiology,,Randomized Controlled Trial; Clinical Trial,
30000011,Slow-wave sleep and memory consolidation,Sleep,2020,Sleep/physiology; Electroencephalography/methods; Memory/physiology,,Observational Study,
30000012,Acoustic stimulation of slow oscillations during sleep,J Sleep Res,2021,Electroencephalography/methods; Sleep/physiology; Acoustic Stimulation/methods,,Observational Study,
30000013,Biofeedback for insomnia: a randomized trial,Front Neurosci,2021,"Biofeedback, Psychology/methods; Sleep Initiation and Maintenance Disorders/therapy; Heart Rate/physiology",,Randomized Controlled Trial; Clinical Trial,
30000014,Wearable HRV monitoring across the night,Sleep Med,2022,"Heart Rate/physiology; Sleep/physiology; Monitoring, Physiologic/methods",,Observational Study,
30000015,Paced breathing and parasympathetic tone,Psychophysiology,2022,Respiration/physiology; Parasympathetic Nervous System/physiology; Autonomic Nervous System/physiology,,Clinical Trial,
30000016,Non-contact monitoring of respiration and heart rate,Front Physiol,2023,"Respiration/physiology; Heart Rate/physiology; Monitoring, Physiologic/methods",,Validation Study,
30000017,Biofeedback-assisted breathing for sleep onset,J Clin Sleep Med,2023,"Biofeedback, Psychology/methods; Respiration/physiology; Sleep/physiology",,Randomized Controlled Trial; Clinical Trial,
30000018,Acoustic enhancement of slow-wave sleep and its autonomic effect,Sleep,2024,Electroencephalography/methods; Sleep/physiology; Acoustic Stimulation/methods; Autonomic Nervous System/physiology,,Review,
30000019,Melatonin for chronic insomnia: a randomized trial,Sleep Med,2019,Melatonin/therapeutic use; Sleep Initiation and Maintenance Disorders/drug therapy; Sleep/drug effects,,Randomized Controlled Trial; Clinical Trial,https://doi.org/10.1016/j.pubgap.2019.19001
30000020,Zolpidem and next-day psychomotor performance,J Clin Sleep Med,2020,Hypnotics and Sedatives/adverse effects; Sleep/drug effects,,Randomized Controlled Trial; Clinical Trial,https://doi.org/10.1016/j.pubgap.2020.20001
30000021,Beta-blockers and heart rate variability during the night,Front Physiol,2021,Adrenergic beta-Antagonists/pharmacology; Heart Rate; Sleep/drug effects,,Observational Study,https://doi.org/10.1016/j.pubgap.2021.21001
30000022,Melatonin dose-response on sleep onset latency,Sleep,2022,Melatonin/administration & dosage; Sleep/drug effects,,Randomized Controlled Trial; Clinical Trial,https://doi.org/10.1016/j.pubgap.2022.22001
30000023,Hypnotic drug use and nocturnal respiration,Chest,2023,Hypnotics and Sedatives/adverse effects; Respiration/drug effects; Sleep,,Observational Study,https://doi.org/10.1016/j.pubgap.2023.23001
30000024,Adverse events of long-term hypnotic therapy: a review,Sleep Med,2024,Hypnotics and Sedatives/adverse effects; Sleep Initiation and Maintenance Disorders/drug therapy,,Review,https://doi.org/10.1016/j.pubgap.2024.24001
30000025,Melatonin and nocturnal respiratory rate,Chest,2020,Melatonin/pharmacology; Respiration/drug effects; Sleep/drug effects,,Randomized Controlled Trial; Clinical Trial,https://doi.org/10.1016/j.pubgap.2020.25001
30000026,Zolpidem effects on autonomic tone during sleep,Front Physiol,2021,Hypnotics and Sedatives/pharmacology; Autonomic Nervous System/drug effects; Sleep/drug effects,,Observational Study,https://doi.org/10.1016/j.pubgap.2021.26001
30000027,Effect of hypnotics on respiratory drive,Sleep Med,2022,Hypnotics and Sedatives/adverse effects; Respiration/drug effects,,Observational Study,https://doi.org/10.1016/j.pubgap.2022.27001
30000028,Melatonin and slow-wave sleep architecture,Sleep,2023,Melatonin/pharmacology; Sleep/drug effects; Electroencephalography/methods,,Randomized Controlled Trial; Clinical Trial,https://doi.org/10.1016/j.pubgap.2023.28001
